joint,mean_abs_rad,mean_abs_deg,rmse_rad,std_mean_abs
rh_FFJ4,0.099419,5.6963,0.119162,0.001728
rh_MFJ4,0.066912,3.8338,0.087627,0.002906
rh_RFJ4,0.012411,0.7111,0.039809,0.002027
rh_THJ5,0.201532,11.5469,0.243172,0.005337
rh_FFJ3,0.156352,8.9583,0.212504,0.012570
rh_MFJ3,0.285771,16.3735,0.334192,0.017573
rh_RFJ3,0.203273,11.6467,0.259242,0.015002
rh_THJ4,0.244731,14.0220,0.292506,0.006298
rh_FFJ2,0.199681,11.4409,0.250369,0.011556
rh_MFJ2,0.212771,12.1909,0.264474,0.004734
rh_RFJ2,0.108513,6.2173,0.167696,0.009733
rh_THJ2,0.114974,6.5875,0.136946,0.004601
rh_THJ1,0.157107,9.0015,0.235440,0.016561
OVERALL,0.158727,9.0944,0.203318,
